"","country","indicator","date","year_week","value","source","url"
"1","Austria","Daily hospital occupancy","2020-04-01","2020-W14",856,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"2","Austria","Daily hospital occupancy","2020-04-02","2020-W14",823,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"3","Austria","Daily hospital occupancy","2020-04-03","2020-W14",829,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"4","Austria","Daily hospital occupancy","2020-04-04","2020-W14",826,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"5","Austria","Daily hospital occupancy","2020-04-05","2020-W14",712,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"6","Austria","Daily hospital occupancy","2020-04-06","2020-W15",824,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"7","Austria","Daily hospital occupancy","2020-04-07","2020-W15",857,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"8","Austria","Daily hospital occupancy","2020-04-08","2020-W15",829,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"9","Austria","Daily hospital occupancy","2020-04-09","2020-W15",820,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"10","Austria","Daily hospital occupancy","2020-04-10","2020-W15",771,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"11","Austria","Daily hospital occupancy","2020-04-11","2020-W15",790,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"12","Austria","Daily hospital occupancy","2020-04-12","2020-W15",792,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"13","Austria","Daily hospital occupancy","2020-04-13","2020-W16",742,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"14","Austria","Daily hospital occupancy","2020-04-14","2020-W16",759,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"15","Austria","Daily hospital occupancy","2020-04-15","2020-W16",769,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"16","Austria","Daily hospital occupancy","2020-04-16","2020-W16",729,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"17","Austria","Daily hospital occupancy","2020-04-17","2020-W16",682,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"18","Austria","Daily hospital occupancy","2020-04-18","2020-W16",647,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"19","Austria","Daily hospital occupancy","2020-04-19","2020-W16",613,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"20","Austria","Daily hospital occupancy","2020-04-20","2020-W17",611,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"21","Austria","Daily hospital occupancy","2020-04-21","2020-W17",560,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"22","Austria","Daily hospital occupancy","2020-04-22","2020-W17",524,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"23","Austria","Daily hospital occupancy","2020-04-23","2020-W17",508,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"24","Austria","Daily hospital occupancy","2020-04-24","2020-W17",495,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
"25","Austria","Daily hospital occupancy","2020-04-25","2020-W17",460,"Country_Website","https://covid19-dashboard.ages.at/dashboard_Hosp.html"
